kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
0,PIA,2.0,McLaren,75.745,1.0,MEDIUM,25.785,27.034,22.926,2.0,29.3,279.0,2,0.13817616323723536,0.17799997838120762
0,VER,2.0,Red Bull Racing,76.304,2.0,SOFT,26.079,27.315,22.91,2.0,29.3,275.0,1,0.15738095086046952,0.0
0,NOR,2.0,McLaren,76.686,3.0,MEDIUM,26.261,27.587,22.838,2.0,29.3,266.0,2,0.167437706947059,0.1797696711882492
0,HAD,2.0,Racing Bulls,76.55,4.0,MEDIUM,26.203,27.711,22.636,2.0,29.3,305.0,2,0.10994075452297229,0.17861383906738387
0,LEC,2.0,Ferrari,77.076,5.0,MEDIUM,26.543,27.78,22.753,2.0,29.3,304.0,2,0.11705245560865819,0.17954691023720348
0,RUS,2.0,Mercedes,76.688,6.0,MEDIUM,26.327,27.626,22.735,2.0,29.3,298.0,2,0.12130455548045317,0.17896990291084847
0,HAM,2.0,Ferrari,76.716,7.0,MEDIUM,26.405,27.548,22.763,2.0,29.3,290.0,2,0.1327565172012125,0.17902318465328587
0,LAW,2.0,Racing Bulls,76.919,8.0,MEDIUM,26.557,27.387,22.975,2.0,29.3,289.0,2,0.1363679544520432,0.1795687330911364
0,SAI,2.0,Williams,76.974,9.0,MEDIUM,26.659,27.293,23.022,2.0,29.3,273.0,2,0.1595274199883192,0.17979535507615474
0,ALB,2.0,Williams,77.145,10.0,MEDIUM,26.674,27.716,22.755,2.0,29.3,282.0,2,0.14881588553440062,0.17977586065093631
0,TSU,2.0,Red Bull Racing,77.298,11.0,SOFT,26.841,27.919,22.538,2.0,29.3,265.0,1,0.18147712804699284,0.0007798309587736529
0,ANT,2.0,Mercedes,77.453,12.0,MEDIUM,26.536,28.129,22.788,2.0,29.3,289.0,2,0.1438251032607291,0.18100058593852475
0,ALO,2.0,Aston Martin,77.305,13.0,MEDIUM,26.451,27.812,23.042,2.0,29.3,288.0,2,0.1437645559261722,0.18112335639252708
0,GAS,2.0,Alpine,77.59,14.0,MEDIUM,26.71,27.773,23.107,2.0,29.3,270.0,2,0.172207682104954,0.18171617492664366
0,COL,2.0,Alpine,77.627,15.0,SOFT,26.856,27.72,23.051,2.0,29.3,273.0,1,0.17484242706838662,0.0023254161990000077
0,OCO,2.0,Haas F1 Team,77.655,16.0,HARD,26.915,27.624,23.116,2.0,29.3,293.0,3,0.1319998198007118,0.3600687887609787
0,HUL,2.0,Kick Sauber,77.546,17.0,SOFT,26.936,27.777,22.833,2.0,29.3,275.0,1,0.17032108914383373,0.0015477349737054724
0,BOR,2.0,Kick Sauber,77.934,18.0,MEDIUM,26.888,27.887,23.159,2.0,29.3,275.0,2,0.16898389084183824,0.18231585225820235
0,STR,2.0,Aston Martin,77.82,19.0,MEDIUM,26.754,27.915,23.151,2.0,29.3,284.0,2,0.15519697864737197,0.1821514500356835
0,BEA,2.0,Haas F1 Team,76.926,20.0,HARD,26.409,27.377,23.14,2.0,29.3,292.0,3,0.1258379226921433,0.3591544564562846
0,PIA,3.0,McLaren,75.734,1.0,MEDIUM,25.895,27.031,22.808,3.0,28.9,288.0,2,0.12668211398536852,0.2179376887977726
0,VER,3.0,Red Bull Racing,76.039,2.0,SOFT,25.774,27.395,22.87,3.0,28.9,292.0,1,0.13305291030546246,0.04018252883791562
