kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,S1_Delta,S2_Delta,S3_Delta,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
1,PIA,2.0,McLaren,75.745,1.0,MEDIUM,1.1239999999999988,1.4669999999999987,1.1659999999999968,2.0,29.3,279.0,2,-0.9539896555167418,-2.1895348208801666
1,VER,2.0,Red Bull Racing,76.304,2.0,SOFT,1.4179999999999993,1.748000000000001,1.1499999999999986,2.0,29.3,275.0,1,-0.39040568786828894,-3.2612351473612833
1,NOR,2.0,McLaren,76.686,3.0,MEDIUM,1.5999999999999979,2.0199999999999996,1.0779999999999994,2.0,29.3,266.0,2,0.274058430839905,-3.0205615988568306
1,HAD,2.0,Racing Bulls,76.55,4.0,MEDIUM,1.541999999999998,2.1439999999999984,0.8759999999999977,2.0,29.3,305.0,2,0.23169531974027063,-1.3401305007301434
1,LEC,2.0,Ferrari,77.076,5.0,MEDIUM,1.881999999999998,2.213000000000001,0.9929999999999986,2.0,29.3,304.0,2,0.836122935027475,-1.5626285086159581
1,RUS,2.0,Mercedes,76.688,6.0,MEDIUM,1.6660000000000004,2.059000000000001,0.9749999999999979,2.0,29.3,298.0,2,0.351609121232694,-1.6979550566326544
1,HAM,2.0,Ferrari,76.716,7.0,MEDIUM,1.7439999999999998,1.980999999999998,1.0030000000000001,2.0,29.3,290.0,2,0.37022263941885225,-2.0766646434251177
1,LAW,2.0,Racing Bulls,76.919,8.0,MEDIUM,1.8959999999999972,1.8200000000000003,1.2149999999999999,2.0,29.3,289.0,2,0.5151999880308196,-2.1870052950469714
1,SAI,2.0,Williams,76.974,9.0,MEDIUM,1.9979999999999976,1.725999999999999,1.261999999999997,2.0,29.3,273.0,2,0.5538116370868406,-2.9180577621675754
1,ALB,2.0,Williams,77.145,10.0,MEDIUM,2.012999999999998,2.149000000000001,0.9949999999999974,2.0,29.3,282.0,2,0.9139360610212065,-2.56750168099571
1,TSU,2.0,Red Bull Racing,77.298,11.0,SOFT,2.1799999999999997,2.3520000000000003,0.7779999999999987,2.0,29.3,265.0,1,1.0677296698430403,-4.129787177697244
1,ANT,2.0,Mercedes,77.453,12.0,MEDIUM,1.875,2.562000000000001,1.0279999999999987,2.0,29.3,289.0,2,1.2774347280305398,-2.2087963623261206
1,ALO,2.0,Aston Martin,77.305,13.0,MEDIUM,1.7899999999999991,2.245000000000001,1.282,2.0,29.3,288.0,2,0.9544093888718317,-2.185346329105576
1,GAS,2.0,Alpine,77.59,14.0,MEDIUM,2.0489999999999995,2.2059999999999995,1.3469999999999978,2.0,29.3,270.0,2,1.2744332669300402,-3.0868186518059875
1,COL,2.0,Alpine,77.627,15.0,SOFT,2.1950000000000003,2.1529999999999987,1.2909999999999968,2.0,29.3,273.0,1,1.2085752821222142,-3.770946593808741
1,OCO,2.0,Haas F1 Team,77.655,16.0,HARD,2.253999999999998,2.0569999999999986,1.355999999999998,2.0,29.3,293.0,3,1.5204136788538596,-1.4775363521463785
1,HUL,2.0,Kick Sauber,77.546,17.0,SOFT,2.2749999999999986,2.210000000000001,1.0729999999999968,2.0,29.3,275.0,1,1.2282308919567502,-3.7386535758505137
1,BOR,2.0,Kick Sauber,77.934,18.0,MEDIUM,2.2270000000000003,2.3200000000000003,1.3989999999999974,2.0,29.3,275.0,2,1.6841068452629064,-2.9710961795680086
1,STR,2.0,Aston Martin,77.82,19.0,MEDIUM,2.093,2.347999999999999,1.3909999999999982,2.0,29.3,284.0,2,1.5462925222375516,-2.5173399378002292
1,BEA,2.0,Haas F1 Team,76.926,20.0,HARD,1.7479999999999976,1.8099999999999987,1.379999999999999,2.0,29.3,292.0,3,0.5809536578604734,-1.2399548723268476
1,PIA,3.0,McLaren,75.734,1.0,MEDIUM,1.2339999999999982,1.4639999999999986,1.0479999999999983,3.0,28.9,288.0,2,-0.782088274618689,-1.7842582378915075
1,VER,3.0,Red Bull Racing,76.039,2.0,SOFT,1.1129999999999995,1.8279999999999994,1.1099999999999994,3.0,28.9,292.0,1,-0.5878514964624754,-2.293250383338279
1,NOR,3.0,McLaren,75.994,3.0,MEDIUM,1.0819999999999972,1.8210000000000015,1.102999999999998,3.0,28.9,287.0,2,-0.49490679160473233,-1.7560567410464294
1,HAD,3.0,Racing Bulls,76.629,4.0,MEDIUM,1.439,2.186,1.0159999999999982,3.0,28.9,286.0,2,0.35420386323051034,-2.0056365173835466
1,LEC,3.0,Ferrari,76.295,5.0,MEDIUM,1.5189999999999984,1.9619999999999997,0.825999999999997,3.0,28.9,308.0,2,0.05558163800531055,-1.1104896479890127
1,RUS,3.0,Mercedes,76.576,6.0,MEDIUM,1.7419999999999973,1.9589999999999996,0.8869999999999969,3.0,28.9,301.0,2,0.37737675610446736,-1.5255542158715851
1,HAM,3.0,Ferrari,76.449,7.0,MEDIUM,1.450999999999997,2.125,0.884999999999998,3.0,28.9,305.0,2,0.21117762590103473,-1.2054431026913892
1,LAW,3.0,Racing Bulls,76.709,8.0,MEDIUM,1.5279999999999987,1.9469999999999992,1.2459999999999987,3.0,28.9,308.0,2,0.34689606216938973,-1.099141557809774
1,SAI,3.0,Williams,76.751,9.0,MEDIUM,1.485999999999997,2.184000000000001,1.093,3.0,28.9,293.0,2,0.4705654635042358,-1.7296559071843651
1,ALB,3.0,Williams,76.823,10.0,MEDIUM,1.5109999999999992,2.1400000000000006,1.1839999999999975,3.0,28.9,304.0,2,0.5186663528575103,-1.269524926073586
1,TSU,3.0,Red Bull Racing,76.837,11.0,SOFT,1.6549999999999976,2.2169999999999987,0.9769999999999968,3.0,28.9,288.0,1,0.4940421041435425,-2.772115186359563
1,ANT,3.0,Mercedes,76.637,12.0,MEDIUM,1.315999999999999,2.3810000000000002,0.9519999999999982,3.0,28.9,323.0,2,0.4136423366638053,-0.37299413869740167
1,ALO,3.0,Aston Martin,76.875,13.0,MEDIUM,1.596,2.1020000000000003,1.189,3.0,28.9,299.0,2,0.5812736580564248,-1.5264478778632165
1,GAS,3.0,Alpine,76.704,14.0,MEDIUM,1.4100000000000001,2.1679999999999993,1.1379999999999981,3.0,28.9,303.0,2,0.3906770189733201,-1.260802780252326
1,COL,3.0,Alpine,76.743,15.0,SOFT,1.721,1.9789999999999992,1.0549999999999997,3.0,28.9,299.0,1,0.3444250156880358,-2.3275812686645616
1,OCO,3.0,Haas F1 Team,77.406,17.0,HARD,2.3329999999999984,1.846,1.2389999999999972,3.0,28.9,320.0,3,1.4047023985084675,-0.2815902737875528
1,HUL,3.0,Kick Sauber,76.66,16.0,SOFT,1.6739999999999995,1.8210000000000015,1.1769999999999996,3.0,28.9,330.0,1,0.19154716571485056,-0.9718444459772358
1,BOR,3.0,Kick Sauber,78.142,19.0,MEDIUM,1.8200000000000003,2.370000000000001,1.9639999999999986,3.0,28.9,314.0,2,1.760511123036092,-0.9878504620122162
1,STR,3.0,Aston Martin,77.336,18.0,MEDIUM,1.6739999999999995,2.1340000000000003,1.5399999999999991,3.0,28.9,301.0,2,0.9715724480155523,-1.4710262046530047
1,BEA,3.0,Haas F1 Team,77.112,20.0,HARD,1.5269999999999975,2.1960000000000015,1.4009999999999998,3.0,28.9,303.0,3,0.9115360792820197,-0.5809528884637573
1,PIA,4.0,McLaren,75.46,1.0,MEDIUM,1.1280000000000001,1.2629999999999981,1.0809999999999995,4.0,28.8,284.0,2,-1.1101572302201537,-1.8195025017295834
1,VER,4.0,Red Bull Racing,75.816,2.0,SOFT,0.9770000000000003,1.7860000000000014,1.0649999999999977,4.0,28.8,289.0,1,-0.8116903510025235,-2.2783414852160733
1,NOR,4.0,McLaren,76.04,3.0,MEDIUM,1.1469999999999985,1.9149999999999991,0.9899999999999984,4.0,28.8,278.0,2,-0.343547229940643,-2.111533689969541
1,HAD,4.0,Racing Bulls,76.077,4.0,MEDIUM,1.193999999999999,1.9899999999999984,0.9049999999999976,4.0,28.8,293.0,2,-0.24220048401231525,-1.5035110888268721
1,LEC,4.0,Ferrari,76.342,5.0,MEDIUM,1.6069999999999993,1.9400000000000013,0.8069999999999986,4.0,28.8,299.0,2,0.15908407019941398,-1.4706937016324662
1,RUS,4.0,Mercedes,76.471,6.0,MEDIUM,1.7369999999999983,1.8339999999999996,0.911999999999999,4.0,28.8,311.0,2,0.2753194327053675,-1.0214211104103585
1,HAM,4.0,Ferrari,76.57,7.0,MEDIUM,1.6699999999999982,1.9929999999999986,0.9189999999999969,4.0,28.8,294.0,2,0.3825757826216252,-1.7150640774066288
1,LAW,4.0,Racing Bulls,76.372,8.0,MEDIUM,1.4229999999999983,1.9130000000000003,1.0479999999999983,4.0,28.8,310.0,2,0.06680665270731677,-0.89380238811954
1,SAI,4.0,Williams,76.813,9.0,MEDIUM,1.5279999999999987,2.215,1.0819999999999972,4.0,28.8,305.0,2,0.5981673387975034,-1.1722834920278111
1,ALB,4.0,Williams,76.89,10.0,MEDIUM,1.5700000000000003,2.254999999999999,1.0769999999999982,4.0,28.8,307.0,2,0.6992931609024416,-1.1111419947466457
1,TSU,4.0,Red Bull Racing,77.028,11.0,SOFT,1.6489999999999974,2.465,0.9259999999999984,4.0,28.8,283.0,1,0.791950331354798,-2.922333654896352
1,ANT,4.0,Mercedes,77.032,12.0,MEDIUM,1.5009999999999977,2.4299999999999997,1.1129999999999995,4.0,28.8,309.0,2,0.8549286557537562,-0.9938527532595598
1,ALO,4.0,Aston Martin,77.125,13.0,MEDIUM,1.471,2.2929999999999993,1.3729999999999976,4.0,28.8,302.0,2,0.8270847708338916,-1.2614981785235595
1,GAS,4.0,Alpine,77.528,14.0,MEDIUM,1.5,2.3889999999999993,1.6509999999999998,4.0,28.8,301.0,2,1.1805435669146627,-1.3126277731570901
1,COL,4.0,Alpine,77.121,15.0,SOFT,1.6559999999999988,2.222999999999999,1.2539999999999978,4.0,28.8,287.0,1,0.7354572213668242,-2.7349794308742443
1,HUL,4.0,Kick Sauber,77.25,16.0,SOFT,1.6559999999999988,2.247,1.3589999999999982,4.0,28.8,302.0,1,0.8481391057302601,-2.092957140600294
1,OCO,4.0,Haas F1 Team,77.192,17.0,HARD,1.7029999999999994,2.245000000000001,1.2559999999999967,4.0,28.8,295.0,3,1.1271679197850686,-0.9528064695079009
1,STR,4.0,Aston Martin,76.491,18.0,MEDIUM,1.5209999999999972,1.931000000000001,1.0509999999999984,4.0,28.8,304.0,2,0.21370474797370925,-1.2023161832897404
1,BOR,4.0,Kick Sauber,77.139,19.0,MEDIUM,1.7999999999999972,2.1709999999999994,1.1799999999999997,4.0,28.8,289.0,2,0.9532000775351632,-1.9941099942864375
1,BEA,4.0,Haas F1 Team,77.026,20.0,HARD,1.5909999999999975,2.0500000000000007,1.3969999999999985,4.0,28.8,302.0,3,0.8452286428807241,-0.5826312721095003
1,PIA,5.0,McLaren,75.374,1.0,MEDIUM,0.9719999999999978,1.5360000000000014,0.8780000000000001,5.0,27.8,287.0,2,-0.8461697172025683,-1.5107071756852561
1,VER,5.0,Red Bull Racing,75.946,2.0,SOFT,1.1189999999999998,1.7379999999999995,1.100999999999999,5.0,27.8,292.0,1,-0.39454315701591564,-2.1087461700744496
1,NOR,5.0,McLaren,75.845,3.0,MEDIUM,0.9559999999999995,1.9519999999999982,0.9489999999999981,5.0,27.8,285.0,2,-0.30041212790554356,-1.5993125191547064
1,HAD,5.0,Racing Bulls,76.0,4.0,MEDIUM,1.0990000000000002,1.9899999999999984,0.9229999999999983,5.0,27.8,285.0,2,-0.0882432173403824,-1.6780917440865988
1,LEC,5.0,Ferrari,76.038,5.0,MEDIUM,1.3059999999999974,1.846,0.8979999999999997,5.0,27.8,297.0,2,-0.012827311996972882,-1.273503516370097
1,RUS,5.0,Mercedes,76.094,6.0,MEDIUM,1.360999999999997,1.8389999999999986,0.9059999999999988,5.0,27.8,311.0,2,0.06241088897968237,-0.7060144812853888
1,HAM,5.0,Ferrari,76.432,7.0,MEDIUM,1.538999999999998,1.8269999999999982,1.0779999999999994,5.0,27.8,291.0,2,0.3870122512832768,-1.6463272728595573
1,LAW,5.0,Racing Bulls,76.408,8.0,MEDIUM,1.5299999999999976,1.908999999999999,0.9809999999999981,5.0,27.8,311.0,2,0.41945397855091004,-0.7960627644741494
1,SAI,5.0,Williams,76.804,9.0,MEDIUM,1.5859999999999985,1.9740000000000002,1.2559999999999967,5.0,27.8,290.0,2,0.7558834553972822,-1.7125970465481903
1,ALB,5.0,Williams,77.083,10.0,MEDIUM,1.5819999999999972,2.344000000000001,1.168999999999997,5.0,27.8,293.0,2,1.1503650352542345,-1.598900388290885
