kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,Sector1Time_Sec,Sector2Time_Sec,Sector3Time_Sec,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
0,PIA,2.0,McLaren,75.745,1.0,MEDIUM,25.785,27.034,22.926,2.0,29.3,279.0,2,0.13817616323723542,0.17799997838120846
0,VER,2.0,Red Bull Racing,76.304,2.0,SOFT,26.079,27.315,22.91,2.0,29.3,275.0,1,0.1573809508604696,0.0
0,NOR,2.0,McLaren,76.686,3.0,MEDIUM,26.261,27.587,22.838,2.0,29.3,266.0,2,0.16743770694705906,0.17976967118825005
0,HAD,2.0,Racing Bulls,76.55,4.0,MEDIUM,26.203,27.711,22.636,2.0,29.3,305.0,2,0.10994075452297236,0.17861383906738476
0,LEC,2.0,Ferrari,77.076,5.0,MEDIUM,26.543,27.78,22.753,2.0,29.3,304.0,2,0.11705245560865826,0.17954691023720437
0,RUS,2.0,Mercedes,76.688,6.0,MEDIUM,26.327,27.626,22.735,2.0,29.3,298.0,2,0.12130455548045325,0.1789699029108493
0,HAM,2.0,Ferrari,76.716,7.0,MEDIUM,26.405,27.548,22.763,2.0,29.3,290.0,2,0.13275651720121256,0.1790231846532867
0,LAW,2.0,Racing Bulls,76.919,8.0,MEDIUM,26.557,27.387,22.975,2.0,29.3,289.0,2,0.13636795445204325,0.1795687330911373
0,SAI,2.0,Williams,76.974,9.0,MEDIUM,26.659,27.293,23.022,2.0,29.3,273.0,2,0.15952741998831926,0.17979535507615557
0,ALB,2.0,Williams,77.145,10.0,MEDIUM,26.674,27.716,22.755,2.0,29.3,282.0,2,0.14881588553440067,0.1797758606509372
0,TSU,2.0,Red Bull Racing,77.298,11.0,SOFT,26.841,27.919,22.538,2.0,29.3,265.0,1,0.18147712804699292,0.0007798309587736529
0,ANT,2.0,Mercedes,77.453,12.0,MEDIUM,26.536,28.129,22.788,2.0,29.3,289.0,2,0.14382510326072914,0.18100058593852558
0,ALO,2.0,Aston Martin,77.305,13.0,MEDIUM,26.451,27.812,23.042,2.0,29.3,288.0,2,0.1437645559261723,0.1811233563925279
0,GAS,2.0,Alpine,77.59,14.0,MEDIUM,26.71,27.773,23.107,2.0,29.3,270.0,2,0.17220768210495405,0.1817161749266445
0,COL,2.0,Alpine,77.627,15.0,SOFT,26.856,27.72,23.051,2.0,29.3,273.0,1,0.1748424270683867,0.0023254161990000077
0,OCO,2.0,Haas F1 Team,77.655,16.0,HARD,26.915,27.624,23.116,2.0,29.3,293.0,3,0.13199981980071182,0.36006878876098036
0,HUL,2.0,Kick Sauber,77.546,17.0,SOFT,26.936,27.777,22.833,2.0,29.3,275.0,1,0.17032108914383381,0.001547734973705528
0,BOR,2.0,Kick Sauber,77.934,18.0,MEDIUM,26.888,27.887,23.159,2.0,29.3,275.0,2,0.1689838908418383,0.18231585225820313
0,STR,2.0,Aston Martin,77.82,19.0,MEDIUM,26.754,27.915,23.151,2.0,29.3,284.0,2,0.15519697864737206,0.18215145003568428
0,BEA,2.0,Haas F1 Team,76.926,20.0,HARD,26.409,27.377,23.14,2.0,29.3,292.0,3,0.12583792269214333,0.3591544564562862
0,PIA,3.0,McLaren,75.734,1.0,MEDIUM,25.895,27.031,22.808,3.0,28.9,288.0,2,0.1266821139853686,0.2179376887977736
0,VER,3.0,Red Bull Racing,76.039,2.0,SOFT,25.774,27.395,22.87,3.0,28.9,292.0,1,0.13305291030546257,0.04018252883791584
0,NOR,3.0,McLaren,75.994,3.0,MEDIUM,25.743,27.388,22.863,3.0,28.9,287.0,2,0.13254657016964475,0.21920555356021626
0,HAD,3.0,Racing Bulls,76.629,4.0,MEDIUM,26.1,27.753,22.776,3.0,28.9,286.0,2,0.1409785249178246,0.22015092469195274
0,LEC,3.0,Ferrari,76.295,5.0,MEDIUM,26.18,27.529,22.586,3.0,28.9,308.0,2,0.10433592599058647,0.21832473051097445
