Driver,Team,LapNumber,Stint,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall,IsInLap,IsOutLap,IsSafetyCar,IsFirstLap,IsCleanLap,Position,TeamColor,LapStartSeconds,TrackStatus
LEC,Ferrari,1.0,1.0,88.179,0.0,29.989,28.398,MEDIUM,1.0,True,316.0,313.0,311.0,300.0,33.8,51.539250716618895,32.59812679154723,2.0794380374641688,0.0,False,False,False,True,False,2.0,#888888,3350.494,1
LEC,Ferrari,2.0,1.0,85.396,27.707,29.265,28.424,MEDIUM,2.0,True,315.0,325.0,312.0,325.0,33.887565198553546,50.599478411571596,31.1243480144645,1.4621740072322482,0.0,False,False,False,False,True,2.0,#888888,3438.931,1
LEC,Ferrari,3.0,1.0,85.179,27.679,29.001,28.499,MEDIUM,3.0,True,313.0,324.0,313.0,328.0,33.77009518729058,50.45980962541884,30.0,1.1784770033507335,0.0,False,False,False,False,True,2.0,#888888,3524.327,1
LEC,Ferrari,4.0,1.0,84.81,27.653,28.883,28.274,MEDIUM,4.0,True,314.0,324.0,312.0,327.0,33.7,50.6,30.718754166111186,2.0124983335555258,0.0,False,False,False,False,True,2.0,#888888,3609.506,1
LEC,Ferrari,5.0,1.0,84.603,27.63,28.79,28.183,MEDIUM,5.0,True,313.0,325.0,312.0,321.0,33.7,50.68677220463256,30.132277953674382,2.2338610231628087,0.0,False,False,False,False,True,2.0,#888888,3694.316,1
LEC,Ferrari,6.0,1.0,84.663,27.596,28.945,28.122,MEDIUM,6.0,True,315.0,325.0,312.0,325.0,33.591575982802006,50.383151965604014,31.0,1.9084240171979934,0.0,False,False,False,False,True,2.0,#888888,3778.919,1
LEC,Ferrari,7.0,1.0,84.434,27.645,28.701,28.088,MEDIUM,7.0,True,314.0,326.0,312.0,329.0,33.5,49.62813953100782,31.953100781653635,2.0953100781653635,0.0,False,False,False,False,True,2.0,#888888,3863.582,1
LEC,Ferrari,8.0,1.0,84.569,27.557,28.771,28.241,MEDIUM,8.0,True,314.0,325.0,313.0,333.0,33.36400846977225,49.5,32.0,0.7439661209110005,0.0,False,False,False,False,True,2.0,#888888,3948.016,1
LEC,Ferrari,9.0,1.0,84.362,27.542,28.781,28.039,MEDIUM,9.0,True,314.0,326.0,312.0,333.0,33.3,49.11518974683755,31.230379493675105,1.538734354427427,0.0,False,False,False,False,True,2.0,#888888,4032.585,1
LEC,Ferrari,10.0,1.0,84.432,27.515,28.84,28.077,MEDIUM,10.0,True,314.0,325.0,311.0,334.0,33.3,48.682441463211404,31.0,1.305351220731606,0.0,False,False,False,False,True,2.0,#888888,4116.947,1
LEC,Ferrari,11.0,1.0,84.846,27.633,28.951,28.262,MEDIUM,11.0,True,313.0,316.0,311.0,323.0,33.241737072772416,48.48347414554483,31.0,1.6252112183172538,0.0,False,False,False,False,True,2.0,#888888,4201.379,1
LEC,Ferrari,12.0,1.0,84.916,27.68,28.971,28.265,MEDIUM,12.0,True,312.0,316.0,311.0,321.0,33.2,47.70241471828286,31.0,1.5996550402453058,0.0,False,False,False,False,True,2.0,#888888,4286.225,1
LEC,Ferrari,13.0,1.0,85.529,27.812,29.177,28.54,MEDIUM,13.0,True,311.0,315.0,309.0,321.0,33.05883686052325,47.6,31.588368605232468,1.1234894184302597,0.0,False,False,False,False,True,2.0,#888888,4371.141,1
LEC,Ferrari,14.0,1.0,85.606,27.839,29.217,28.55,MEDIUM,14.0,True,312.0,314.0,310.0,320.0,33.0,47.51629833333333,31.0,2.137016666666674,0.0,False,False,False,False,True,2.0,#888888,4456.67,1
LEC,Ferrari,15.0,1.0,90.192,28.034,29.361,32.797,MEDIUM,15.0,True,312.0,314.0,0.0,318.0,32.9,47.973616574438296,31.0,2.1944662977531855,0.0,True,False,False,False,False,3.0,#888888,4542.276,1
LEC,Ferrari,16.0,2.0,104.888,47.985,28.75,28.153,HARD,1.0,True,313.0,314.0,313.0,284.0,32.823305727283326,47.9,31.0,1.9766942727166685,0.0,False,True,False,False,False,7.0,#888888,4632.468,1
LEC,Ferrari,17.0,2.0,84.27,27.458,28.73,28.082,HARD,2.0,True,314.0,318.0,314.0,322.0,32.85148298730296,47.645551038091114,30.514829873029626,1.6425850634851877,0.0,False,False,False,False,True,6.0,#888888,4737.356,1
LEC,Ferrari,18.0,2.0,83.875,27.408,28.571,27.896,HARD,3.0,True,316.0,327.0,315.0,329.0,32.9,47.22434066941006,31.0,1.6756593305899412,0.0,False,False,False,False,True,6.0,#888888,4821.626,1
LEC,Ferrari,19.0,2.0,84.203,27.354,28.722,28.127,HARD,4.0,True,317.0,327.0,315.0,336.0,32.8,46.936668944482406,31.0,1.2366689444824086,0.0,False,False,False,False,True,6.0,#888888,4905.501,1
LEC,Ferrari,20.0,2.0,83.826,27.483,28.623,27.72,HARD,5.0,True,315.0,327.0,315.0,325.0,32.8,46.655982799139956,31.0,1.4600430021501072,0.0,False,False,False,False,True,5.0,#888888,4989.704,1
LEC,Ferrari,21.0,2.0,83.88,27.423,28.725,27.732,HARD,6.0,True,315.0,318.0,315.0,335.0,32.8,46.47672672672673,31.116366366366357,2.153453453453457,0.0,False,False,False,False,True,5.0,#888888,5073.53,1
LEC,Ferrari,22.0,2.0,83.768,27.358,28.484,27.926,HARD,7.0,True,316.0,328.0,316.0,327.0,32.74848272759086,46.24848272759086,31.484827275908614,1.8,0.0,False,False,False,False,True,5.0,#888888,5157.41,1
LEC,Ferrari,23.0,2.0,83.864,27.438,28.501,27.925,HARD,8.0,True,318.0,319.0,315.0,326.0,32.7,46.108899441806216,31.0,1.526698325418647,0.0,False,False,False,False,True,3.0,#888888,5241.178,1
LEC,Ferrari,24.0,2.0,83.64,27.347,28.551,27.742,HARD,9.0,True,317.0,319.0,315.0,327.0,32.6,45.83824921661444,31.0,1.32350156677112,0.0,False,False,False,False,True,3.0,#888888,5325.042,1
LEC,Ferrari,25.0,2.0,83.59,27.38,28.445,27.765,HARD,10.0,True,316.0,319.0,314.0,326.0,32.6,45.77025306965663,31.70253069656631,1.740506139313262,0.0,False,False,False,False,True,3.0,#888888,5408.682,1
LEC,Ferrari,26.0,2.0,83.321,27.356,28.307,27.658,HARD,11.0,True,316.0,319.0,315.0,324.0,32.60955460728097,45.771336178157085,31.0,1.7477730364048536,0.0,False,False,False,False,True,3.0,#888888,5492.272,1
LEC,Ferrari,27.0,2.0,83.534,27.38,28.412,27.742,HARD,12.0,True,316.0,319.0,315.0,325.0,32.651565000000005,45.5,31.0,2.2,0.0,False,False,False,False,True,3.0,#888888,5575.593,1
LEC,Ferrari,28.0,2.0,83.284,27.337,28.297,27.65,HARD,13.0,True,317.0,320.0,315.0,326.0,32.51234312761454,45.324686255229075,31.0,1.8493725104581586,0.0,False,False,False,False,True,3.0,#888888,5659.127,1
LEC,Ferrari,29.0,2.0,83.229,27.336,28.301,27.592,HARD,14.0,True,317.0,319.0,315.0,325.0,32.5,45.538064129058064,31.26451569895341,1.7380641290580676,0.0,False,False,False,False,True,3.0,#888888,5742.411,1
LEC,Ferrari,30.0,2.0,83.359,27.361,28.259,27.739,HARD,15.0,True,317.0,320.0,314.0,325.0,32.5,46.134838333333335,32.0,2.074191666666661,0.0,False,False,False,False,True,3.0,#888888,5825.64,1
LEC,Ferrari,31.0,2.0,83.972,27.312,28.74,27.92,HARD,16.0,True,318.0,329.0,316.0,326.0,32.49590771949126,46.091815438982515,32.0,2.067261755930057,0.0,False,False,False,False,True,3.0,#888888,5908.999,1
LEC,Ferrari,32.0,2.0,83.274,27.246,28.382,27.646,HARD,17.0,True,319.0,331.0,314.0,338.0,32.44405779711014,45.9,32.0,1.3440577971101442,0.0,False,False,False,False,True,2.0,#888888,5992.971,1
LEC,Ferrari,33.0,2.0,83.226,27.189,28.364,27.673,HARD,18.0,True,315.0,319.0,315.0,333.0,32.5,45.734321045263655,32.0,1.4,0.0,False,False,False,False,True,2.0,#888888,6076.245,1
LEC,Ferrari,34.0,2.0,83.43,27.324,28.408,27.698,HARD,19.0,True,316.0,320.0,315.0,325.0,32.7,45.65691405143248,32.0,1.386171897135044,0.0,False,False,False,False,True,2.0,#888888,6159.471,1
LEC,Ferrari,35.0,2.0,83.681,27.393,28.512,27.776,HARD,20.0,True,316.0,319.0,314.0,325.0,32.7,45.5,31.393972228241847,1.5787944456483693,0.0,False,False,False,False,True,2.0,#888888,6242.901,1
LEC,Ferrari,36.0,2.0,83.714,27.31,28.493,27.911,HARD,21.0,True,318.0,321.0,313.0,325.0,32.59992001866231,45.4,32.0,1.299920018662311,0.0,False,False,False,False,True,2.0,#888888,6326.582,1
LEC,Ferrari,37.0,2.0,83.55,27.279,28.457,27.814,HARD,22.0,True,316.0,319.0,314.0,335.0,32.5,45.320847915208475,32.0,1.160423957604239,0.0,False,False,False,False,True,2.0,#888888,6410.296,1
LEC,Ferrari,38.0,2.0,83.624,27.372,28.466,27.786,HARD,23.0,True,318.0,320.0,313.0,325.0,32.5,45.2,31.211694892652364,1.415322042939054,0.0,False,False,False,False,True,2.0,#888888,6493.846,1
LEC,Ferrari,39.0,2.0,83.718,27.448,28.564,27.706,HARD,24.0,True,318.0,327.0,313.0,325.0,32.5,44.981784702549575,31.0,1.454645892351277,0.0,False,False,False,False,True,1.0,#888888,6577.47,1
LEC,Ferrari,40.0,2.0,83.69,27.399,28.465,27.826,HARD,25.0,True,315.0,318.0,313.0,322.0,32.5,44.9,31.57719160848483,1.4114041957575845,0.0,False,False,False,False,True,1.0,#888888,6661.188,1
LEC,Ferrari,41.0,2.0,83.611,27.372,28.44,27.799,HARD,26.0,True,315.0,318.0,314.0,322.0,32.5,44.70559713309443,32.0,1.4916043003583628,0.0,False,False,False,False,True,1.0,#888888,6744.878,1
LEC,Ferrari,42.0,2.0,83.67,27.424,28.458,27.788,HARD,27.0,True,316.0,319.0,314.0,323.0,32.46343759894679,44.62687519789358,32.0,1.49031279684037,0.0,False,False,False,False,True,1.0,#888888,6828.489,1
LEC,Ferrari,43.0,2.0,83.867,27.382,28.558,27.927,HARD,28.0,True,318.0,321.0,314.0,324.0,32.47598600349912,44.879930017495624,32.0,1.527958010497375,0.0,False,False,False,False,True,1.0,#888888,6912.159,1
LEC,Ferrari,44.0,2.0,83.43,27.386,28.395,27.649,HARD,29.0,True,315.0,317.0,314.0,323.0,32.48420675520304,44.9,32.0,1.1631729791878431,0.0,False,False,False,False,True,1.0,#888888,6996.026,1
LEC,Ferrari,45.0,2.0,83.731,27.507,28.427,27.797,HARD,30.0,True,313.0,315.0,314.0,320.0,32.4,44.735492098419684,32.0,1.5,0.0,False,False,False,False,True,1.0,#888888,7079.456,1
LEC,Ferrari,46.0,2.0,83.597,27.539,28.364,27.694,HARD,31.0,True,316.0,319.0,314.0,323.0,32.305620636216695,44.6,32.94379363783305,1.5943793637833057,0.0,False,False,False,False,True,1.0,#888888,7163.187,1
LEC,Ferrari,47.0,2.0,83.676,27.509,28.426,27.741,HARD,32.0,True,314.0,316.0,314.0,321.0,32.333717267014485,44.53256546597103,32.0,1.3,0.0,False,False,False,False,True,1.0,#888888,7246.784,1
LEC,Ferrari,48.0,2.0,83.518,27.502,28.365,27.651,HARD,33.0,True,314.0,318.0,316.0,322.0,32.4,44.253637318134096,32.0,1.5195440227988615,0.0,False,False,False,False,True,1.0,#888888,7330.46,1
LEC,Ferrari,49.0,2.0,83.467,27.457,28.319,27.691,HARD,34.0,True,316.0,317.0,316.0,322.0,32.3,44.2,32.12356872614543,1.7135018916981974,0.0,False,False,False,False,True,1.0,#888888,7413.978,1
LEC,Ferrari,50.0,2.0,83.461,27.425,28.336,27.7,HARD,35.0,True,316.0,318.0,316.0,322.0,32.3,44.14852485248525,32.48524852485249,1.3573757375737556,0.0,False,False,False,False,True,1.0,#888888,7497.445,1
LEC,Ferrari,51.0,2.0,83.555,27.432,28.386,27.737,HARD,36.0,True,318.0,320.0,316.0,323.0,32.3,44.1,32.0,1.6,0.0,False,False,False,False,True,1.0,#888888,7580.906,1
LEC,Ferrari,52.0,2.0,83.75,27.432,28.471,27.847,HARD,37.0,True,319.0,321.0,316.0,324.0,32.27023091533104,44.04046183066209,33.0,1.2595381693379109,0.0,False,False,False,False,True,1.0,#888888,7664.461,1
LEC,Ferrari,53.0,2.0,83.268,27.285,28.302,27.681,HARD,38.0,True,324.0,326.0,316.0,329.0,32.2,43.83068950578198,32.30689505781984,1.6079314826540492,0.0,False,False,False,False,True,1.0,#888888,7748.211,1
PIA,McLaren,1.0,1.0,87.623,0.0,30.021,28.254,MEDIUM,1.0,True,327.0,304.0,309.0,292.0,33.8,51.539250716618895,32.59812679154723,2.0794380374641688,0.0,False,False,False,True,False,1.0,#888888,3350.494,1
PIA,McLaren,2.0,1.0,85.116,27.751,29.311,28.054,MEDIUM,2.0,True,315.0,312.0,309.0,320.0,33.886638670866034,50.60689063307171,31.133613291339632,1.4668066456698163,0.0,False,False,False,False,True,1.0,#888888,3438.375,1
PIA,McLaren,3.0,1.0,85.261,27.67,29.271,28.32,MEDIUM,3.0,True,313.0,310.0,309.0,320.0,33.77148882257823,50.45702235484355,30.0,1.1561788387483967,0.0,False,False,False,False,True,1.0,#888888,3523.491,1
PIA,McLaren,4.0,1.0,84.695,27.672,28.825,28.198,MEDIUM,4.0,True,310.0,310.0,308.0,317.0,33.7,50.6,30.706189174776696,2.0175243300893206,0.0,False,False,False,False,True,1.0,#888888,3608.752,1
PIA,McLaren,5.0,1.0,84.66,27.702,28.906,28.052,MEDIUM,5.0,True,308.0,309.0,309.0,317.0,33.7,50.68822029661723,30.117797033827696,2.2411014830861524,0.0,False,False,False,False,True,1.0,#888888,3693.447,1
PIA,McLaren,6.0,1.0,84.603,27.799,28.807,27.997,MEDIUM,6.0,True,308.0,310.0,308.0,317.0,33.59428233372773,50.38856466745546,31.0,1.9057176662722684,0.0,False,False,False,False,True,1.0,#888888,3778.107,1
PIA,McLaren,7.0,1.0,84.418,27.738,28.574,28.106,MEDIUM,7.0,True,310.0,313.0,307.0,317.0,33.5,49.63685938567691,31.938567690538488,2.0938567690538488,0.0,False,False,False,False,True,1.0,#888888,3862.71,1
PIA,McLaren,8.0,1.0,84.57,27.665,28.777,28.128,MEDIUM,8.0,True,309.0,311.0,309.0,319.0,33.365489012637966,49.5,32.0,0.7380439494481312,0.0,False,False,False,False,True,1.0,#888888,3947.128,1
PIA,McLaren,9.0,1.0,84.375,27.637,28.751,27.987,MEDIUM,9.0,True,309.0,312.0,309.0,316.0,33.3,49.12258129031183,31.245162580623656,1.5283861935634393,0.0,False,False,False,False,True,1.0,#888888,4031.698,1
