Driver,Team,TeamColor,PitLap,CompoundBefore,CompoundAfter,StintBefore,StintAfter,InLapTime,OutLapTime,TrackTemp
LEC,Ferrari,#888888,15,MEDIUM,HARD,1,2,90.192,104.888,47.973616574438296
PIA,McLaren,#888888,16,MEDIUM,HARD,1,2,89.939,104.25,47.9
PIA,McLaren,#888888,38,HARD,HARD,2,3,88.125,103.438,45.2
NOR,McLaren,#888888,14,MEDIUM,HARD,1,2,89.417,103.84,47.51471
NOR,McLaren,#888888,32,HARD,HARD,2,3,87.414,104.073,45.9
SAI,Ferrari,#888888,19,MEDIUM,HARD,1,2,90.388,104.811,46.99643660727679
HAM,Mercedes,#888888,15,MEDIUM,HARD,1,2,90.365,105.664,47.9631642109474
HAM,Mercedes,#888888,37,HARD,HARD,2,3,88.349,102.426,45.27791887477919
VER,Red Bull Racing,#888888,22,HARD,HARD,1,2,89.668,107.839,46.26496692162842
VER,Red Bull Racing,#888888,41,HARD,MEDIUM,2,3,88.738,104.09,44.7
RUS,Mercedes,#888888,11,MEDIUM,HARD,1,2,91.175,113.412,48.450562415637656
RUS,Mercedes,#888888,33,HARD,HARD,2,3,88.264,104.863,45.7
PER,Red Bull Racing,#888888,23,HARD,HARD,1,2,89.869,105.017,46.11695076230942
PER,Red Bull Racing,#888888,35,HARD,MEDIUM,2,3,88.255,104.074,45.49418990316505
ALB,Williams,#888888,17,MEDIUM,HARD,1,2,91.436,106.033,47.664106708434694
MAG,Haas F1 Team,#888888,14,MEDIUM,HARD,1,2,89.943,107.023,47.60237841261376
ALO,Aston Martin,#888888,12,MEDIUM,HARD,1,2,89.74,105.594,47.66980518939457
ALO,Aston Martin,#888888,35,HARD,HARD,2,3,89.799,104.152,45.46838113968566
COL,Williams,#888888,16,MEDIUM,HARD,1,2,91.193,106.349,47.87786351137405
RIC,RB,#888888,11,MEDIUM,HARD,1,2,91.962,112.188,48.42177673348998
OCO,Alpine,#888888,31,HARD,MEDIUM,1,2,90.757,104.71,45.95583504192295
GAS,Alpine,#888888,10,MEDIUM,HARD,1,2,91.535,105.677,48.6488425964503
GAS,Alpine,#888888,30,HARD,HARD,2,3,91.004,105.757,46.1
BOT,Kick Sauber,#888888,33,HARD,MEDIUM,1,2,90.924,105.462,45.7
HUL,Haas F1 Team,#888888,5,MEDIUM,HARD,1,2,91.729,120.178,50.66603899350108
HUL,Haas F1 Team,#888888,32,HARD,HARD,2,3,89.903,116.554,45.802213185787615
ZHO,Kick Sauber,#888888,15,MEDIUM,HARD,1,2,92.048,109.128,47.91642109473965
STR,Aston Martin,#888888,19,HARD,HARD,1,2,91.321,105.665,46.90086168102802
STR,Aston Martin,#888888,36,HARD,MEDIUM,2,3,89.334,103.775,45.39798686797987
STR,Aston Martin,#888888,50,MEDIUM,SOFT,3,4,90.186,110.98,44.1
TSU,RB,#888888,7,HARD,UNKNOWN,1,2,100.319,,49.56550897006647
