Driver,Team,TeamColor,StintNumber,StintID,Label,Compound,LapStart,LapEnd,TotalLaps,CleanLaps,AvgLapTime,DegradationSlope,StintLength,TyreLifeStart,AvgTrackTemp,CompoundEncoded,RegressionR2,RegressionIntercept,LapTimeStd,BestLapTime,WorstLapTime,AvgSpeedST,AvgAirTemp,HasSafetyCar,LapTimeSeries,DegradationZScore,IsOutlier
LEC,Ferrari,#888888,1,LEC_S1,LEC-M1,MEDIUM,1,15,15,13,84.8726923076923,0.019939560439560158,15,1,49.364669162433465,1,0.032905049818053464,84.75305494505494,0.428084373423313,84.362,85.606,323.8666666666667,33.4209212514476,False,"[85.396, 85.179, 84.81, 84.603, 84.663, 84.434, 84.569, 84.362, 84.432, 84.846, 84.916, 85.529, 85.606]",0.6688635890118606,False
LEC,Ferrari,#888888,2,LEC_S2,LEC-H2,HARD,16,53,38,37,83.62494594594595,-0.008320293978188674,38,1,45.4556193711229,2,0.13054909674466253,83.77471123755335,0.24926067857944528,83.226,84.27,324.7105263157895,32.541311023382825,False,"[84.27, 83.875, 84.203, 83.826, 83.88, 83.768, 83.864, 83.64, 83.59, 83.321, 83.534, 83.284, 83.229, 83.359, 83.972, 83.274, 83.226, 83.43, 83.681, 83.714, 83.55, 83.624, 83.718, 83.69, 83.611, 83.67, 83.867, 83.43, 83.731, 83.597, 83.676, 83.518, 83.467, 83.461, 83.555, 83.75, 83.268]",-0.14035572293390763,False
PIA,McLaren,#888888,1,PIA_S1,PIA-M1,MEDIUM,1,16,16,14,84.68957142857141,-0.00945054945054907,16,1,49.277184900107066,1,0.012433872510158095,84.75099999999998,0.3545462353022982,84.077,85.261,316.8125,33.38507594129514,False,"[85.116, 85.261, 84.695, 84.66, 84.603, 84.418, 84.57, 84.375, 84.077, 84.247, 84.748, 84.67, 85.048, 85.166]",0.4211061370075226,False
PIA,McLaren,#888888,2,PIA_S2,PIA-H2,HARD,17,38,22,20,83.49725000000001,-0.03354812030075202,22,1,46.00923860616061,2,0.23090279288379245,83.81595714285716,0.4130357286699248,82.968,84.602,319.3636363636364,32.635936107862356,False,"[84.028, 84.602, 83.986, 83.903, 83.647, 83.66, 83.315, 83.23, 83.133, 83.088, 83.168, 83.066, 82.968, 83.221, 83.48, 83.148, 83.456, 83.409, 83.746, 83.691]",-0.31725470960846347,False
PIA,McLaren,#888888,3,PIA_S3,PIA-H3,HARD,39,53,15,14,82.45835714285715,-0.005989010989011195,15,1,44.48905901162676,2,0.0029662459180278926,82.49728571428572,0.46001347925783703,81.943,83.675,324.73333333333335,32.3808337148005,False,"[82.264, 82.066, 82.331, 82.092, 82.628, 83.675, 82.537, 82.253, 82.725, 82.945, 82.586, 82.424, 81.948, 81.943]",-0.12400863091083152,False
NOR,McLaren,#888888,1,NOR_S1,NOR-M1,MEDIUM,1,14,14,12,84.825,-0.041286713286713704,14,1,49.45985045785459,1,0.17345383462516661,85.05207692307692,0.357429204687635,84.391,85.458,323.07142857142856,33.45717896603715,False,"[85.458, 85.11, 85.168, 84.674, 84.768, 84.531, 84.674, 84.664, 84.391, 84.448, 84.655, 85.359]",0.15272854797730057,False
NOR,McLaren,#888888,2,NOR_S2,NOR-H2,HARD,15,32,18,16,83.828625,-0.054582352941176575,18,1,46.3916487065976,2,0.16079142469736138,84.23799264705883,0.6480591408197245,83.067,85.585,321.6666666666667,32.678660074083915,False,"[84.154, 85.585, 83.92, 84.152, 83.882, 83.753, 83.652, 83.581, 83.601, 83.321, 83.469, 83.267, 83.067, 83.3, 83.614, 84.94]",-0.46474797327660705,False
NOR,McLaren,#888888,3,NOR_S3,NOR-H3,HARD,33,53,21,20,82.70034999999999,-0.05642330827067651,21,1,44.753304248474066,2,0.2480411791015123,83.23637142857142,0.6702405126048735,81.432,84.162,330.42857142857144,32.436076351619214,False,"[82.837, 83.137, 83.114, 83.178, 83.133, 83.061, 84.162, 82.234, 82.678, 82.25, 82.403, 82.398, 82.041, 83.852, 81.824, 82.436, 83.266, 82.269, 82.302, 81.432]",-0.4776568592082655,False
SAI,Ferrari,#888888,1,SAI_S1,SAI-M1,MEDIUM,1,19,19,17,85.14552941176468,0.0194362745098038,19,1,48.96438252718064,1,0.08676233068728793,84.99003921568625,0.33320960326179316,84.642,85.731,323.4736842105263,33.296018057751404,False,"[85.731, 85.358, 85.086, 85.006, 84.642, 84.715, 84.87, 84.774, 84.684, 85.066, 85.276, 85.423, 85.234, 85.183, 85.341, 85.407, 85.678]",0.6646209087343011,False
SAI,Ferrari,#888888,2,SAI_S2,SAI-H2,HARD,20,53,34,33,83.76757575757576,0.003945521390374338,34,1,45.21364959680327,2,0.0066886803242826726,83.70444741532977,0.4664874750665218,83.219,85.113,320.44117647058823,32.5033693598899,False,"[84.499, 84.226, 84.557, 83.682, 83.687, 83.503, 83.503, 83.751, 83.473, 83.584, 83.33, 83.354, 83.412, 83.285, 83.334, 83.27, 83.29, 83.551, 83.809, 83.803, 83.337, 83.838, 83.793, 83.931, 85.113, 84.001, 84.09, 84.939, 83.921, 83.769, 83.754, 83.722, 83.219]",-0.05434711158179334,False
